Job Title,,Required Skills, Salary Range ,Location,Company,,Industry,,
Software Engineer,,"Java, Python"," £40,000 - £60,000 ",London,ABC Tech,,Technology,,
Data Analyst,,"SQL, Excel"," £35,000 - £50,000 ",Manchester,XYZ Analytics,,Analytics,,
Network Engineer,,"Cisco, WAN"," £45,000 - £70,000 ",Birmingham,Network Solutions,,Networking,,
Cloud Architect,,"AWS, Azure"," £60,000 - £90,000 ",Edinburgh,Cloud Innovators,,Cloud Computing,,
Cybersecurity Analyst,,Cybersecurity," £50,000 - £80,000 ",Glasgow,SecureGuard,,Security,,
IT Project Manager,,"PMP, Agile"," £70,000 - £100,000 ",Leeds,Project Leaders,,Project Management,,
Data Scientist,,"R, Python"," £55,000 - £85,000 ",Bristol,Data Insights,,Data Science,,
DevOps Engineer,,"Docker, Jenkins"," £50,000 - £75,000 ",Newcastle,DevOps Solutions,,DevOps,,
IT Support Analyst,,"Windows, Linux"," £30,000 - £45,000 ",Sheffield,IT Services,,Support,,
UX/UI Designer,,UI/UX Design," £40,000 - £70,000 ",Cardiff,Design Studios,,Design,,
Database Analyst,,"SQL, Oracle, Database Management"," £40,000 - £65,000 ",London,Data Solutions,,Database,,
UI Developer,,"HTML, CSS, JavaScript"," £35,000 - £55,000 ",Manchester,Web Creations,,Web Development,,
System Administrator,,"Windows Server, Active Directory"," £45,000 - £70,000 ",Birmingham,System Services,,IT Services,,
AI/ML Engineer,,"Python, TensorFlow, AI/ML"," £55,000 - £85,000 ",Edinburgh,AI Innovations,,Artificial Intelligence,,
IT Auditor,,"Audit, Risk Management"," £50,000 - £80,000 ",Glasgow,Audit Experts,,Audit,,
Network Security Engineer,,"Firewall, VPN, Security"," £55,000 - £90,000 ",Leeds,SecureNet,,Security,,
Software Tester,,"Manual Testing, Bug Tracking"," £30,000 - £50,000 ",Bristol,QA Solutions,,Quality Assurance,,
Cloud Solutions Architect,,"AWS, Azure, Architecture"," £65,000 - £100,000 ",Newcastle,Cloud Architects,,Cloud Computing,,
IT Consultant,,"Consulting, IT Strategy"," £60,000 - £90,000 ",Sheffield,IT Consultants,,Consulting,,
Front-end Developer,,"JavaScript, React"," £40,000 - £75,000 ",Cardiff,Web Studios,,Web Development,,
Business Analyst,,"Business Analysis, Requirements"," £45,000 - £80,000 ",London,Biz Analysts,,Business Analysis,,
IT Helpdesk Support,,"Troubleshooting, Customer Service"," £25,000 - £40,000 ",Manchester,IT Helpdesk,,Support,,
DevSecOps Engineer,,"DevSecOps, CI/CD"," £60,000 - £95,000 ",Birmingham,Secure DevOps,,DevOps,,
Data Engineer,,"ETL, Big Data, SQL"," £50,000 - £85,000 ",Edinburgh,Data Engineers,,Data Engineering,,
IT Trainer,,"Training, IT Education"," £35,000 - £60,000 ",Glasgow,IT Training,,Education,,
Cloud Security Engineer,,"Cloud Security, Encryption"," £65,000 - £100,000 ",Leeds,SecureCloud,,Security,,
IT Procurement Specialist,,"Procurement, Vendor Management"," £50,000 - £80,000 ",Bristol,ProcureIT,,Procurement,,
UX Researcher,,"User Research, UX Design"," £45,000 - £75,000 ",Newcastle,UX Labs,,Design,,
Blockchain Developer,,"Blockchain, Solidity"," £55,000 - £90,000 ",Sheffield,Blockchain Tech,,Blockchain,,
IT Risk Analyst,,"Risk Assessment, Compliance"," £50,000 - £80,000 ",Cardiff,Risk Analysts,,Risk Management,,
Cloud Support Engineer,,"AWS, Azure, Cloud Services"," £40,000 - £70,000 ",London,Cloud Support,,Support,,
IT Sales Manager,,"Sales, IT Sales"," £70,000 - £110,000 ",Manchester,Sales Leaders,,Sales,,
Data Privacy Officer,,"GDPR, Data Protection"," £55,000 - £85,000 ",Birmingham,Data Privacy,,Data Privacy,,
Software Architect,,"Architecture, Design Patterns"," £75,000 - £120,000 ",Edinburgh,Software Architects,,Software Design,,
IT Quality Analyst,,"QA, Testing"," £45,000 - £75,000 ",Glasgow,QA Analysts,,Quality Assurance,,
Mobile App Developer,,"iOS, Android, Mobile Development"," £50,000 - £90,000 ",Leeds,Mobile Devs,,Mobile Development,,
IT Procurement Manager,,"Procurement, Supply Chain"," £70,000 - £110,000 ",Bristol,Procurement Mgmt,,Procurement,,
IT Compliance Officer,,"Compliance, Regulations"," £60,000 - £95,000 ",Newcastle,Compliance Experts,,Compliance,,
Full-stack Developer,,"JavaScript, Node.js"," £55,000 - £90,000 ",Sheffield,Full-stack Devs,,Web Development,,
IT Business Analyst,,"Business Analysis, IT Strategy"," £50,000 - £85,000 ",Cardiff,IT Analysts,,Business Analysis,,
IT Trainer Assistant,,"Training, IT Education"," £30,000 - £50,000 ",London,IT Training Assist,,Education,,
AI Ethics Consultant,,"Ethics, AI Governance"," £60,000 - £100,000 ",Manchester,AI Ethics,,Ethics,,
IT Support Specialist,,"Windows, Troubleshooting"," £35,000 - £55,000 ",Birmingham,IT Support Specialists,,Support,,
Data Analytics Manager,,"Data Analytics, Team Management"," £70,000 - £110,000 ",Edinburgh,Data Managers,,Analytics,,
IT Project Coordinator,,Project Coordination," £40,000 - £70,000 ",Glasgow,Project Coordinators,,Project Management,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £45,000 - £75,000 ",Leeds,Cloud Analysts,,Cloud Computing,,
IT Governance Manager,,"IT Governance, Compliance"," £65,000 - £100,000 ",Bristol,IT Governance Mgmt,,Governance,,
Cybersecurity Engineer,,"Cybersecurity, Penetration Testing"," £55,000 - £90,000 ",Newcastle,Cybersecurity Engineers,,Security,,
IT Procurement Analyst,,Procurement Analysis," £50,000 - £85,000 ",Cardiff,Procurement Analysts,,Procurement,,
UX Designer,,"UX Design, Prototyping"," £45,000 - £75,000 ",London,UX Designers,,Design,,
IT Change Manager,,"Change Management, IT Strategy"," £60,000 - £100,000 ",Manchester,Change Managers,,Change Management,,
IT Service Desk Analyst,,"IT Service Desk, Troubleshooting"," £30,000 - £50,000 ",Birmingham,Service Desk,,Support,,
Cloud Security Analyst,,"Cloud Security, Threat Analysis"," £45,000 - £75,000 ",Edinburgh,Cloud Security,,Security,,
IT Business Continuity Manager,,"Business Continuity, Disaster Recovery"," £70,000 - £110,000 ",Glasgow,Continuity Managers,,Business Continuity,,
QA Automation Engineer,,"Test Automation, Selenium"," £55,000 - £90,000 ",Leeds,QA Automation,,Quality Assurance,,
Data Governance Analyst,,"Data Governance, Data Quality"," £50,000 - £85,000 ",Bristol,Data Governance,,Governance,,
IT Trainer Specialist,,"Training, Specialization"," £40,000 - £70,000 ",Newcastle,IT Training Specialists,,Education,,
Machine Learning Engineer,,"Machine Learning, Python"," £60,000 - £100,000 ",Cardiff,ML Engineers,,Machine Learning,,
IT Asset Manager,,"IT Asset Management, Inventory"," £55,000 - £90,000 ",London,Asset Managers,,Asset Management,,
IT Security Consultant,,Security Consulting," £50,000 - £85,000 ",Manchester,Security Consultants,,Security,,
Data Analyst Intern,,"SQL, Excel"," £20,000 - £30,000 ",Birmingham,Data Interns,,Analytics,,
IT Sales Representative,,"Sales, IT Sales"," £40,000 - £70,000 ",Edinburgh,Sales Reps,,Sales,,
Cloud Migration Specialist,,"Cloud Migration, AWS, Azure"," £55,000 - £90,000 ",Glasgow,Cloud Migrators,,Cloud Computing,,
IT Procurement Coordinator,,Procurement Coordination," £45,000 - £75,000 ",Leeds,Procurement Coordinators,,Procurement,,
IT Analyst Trainee,,"IT Analysis, Training"," £25,000 - £35,000 ",Bristol,IT Analyst Trainees,,Training,,
UX Research Assistant,,"UX Research, Support"," £30,000 - £45,000 ",Newcastle,UX Research Assistants,,Research,,
IT Compliance Specialist,,"Compliance, Regulations"," £50,000 - £85,000 ",Cardiff,Compliance Specialists,,Compliance,,
Software Development Intern,,"Programming, Internship"," £20,000 - £30,000 ",London,Dev Interns,,Software Development,,
Network Administrator Trainee,,"Networking, Training"," £25,000 - £35,000 ",Manchester,Network Admin Trainees,,Networking,,
Cloud Solutions Intern,,"Cloud Computing, Internship"," £20,000 - £30,000 ",Birmingham,Cloud Interns,,Cloud,,
Data Engineer,,"Big Data, Python, SQL"," £55,000 - £85,000 ",Cardiff,Data Innovators,,Data Engineering,,
Software Developer,,"Java, C++, Software Design"," £50,000 - £80,000 ",Leeds,CodeCrafters,,Software Development,,
IT Analyst,,"IT Analysis, Troubleshooting"," £40,000 - £65,000 ",Birmingham,IT Insights,,IT Analysis,,
Cloud Solutions Architect,,"AWS, Azure, Cloud Architecture"," £60,000 - £90,000 ",Manchester,Cloud Architects,,Cloud Computing,,
Cybersecurity Analyst,,"Cybersecurity, Threat Analysis"," £50,000 - £80,000 ",Edinburgh,SecureGuard,,Security,,
IT Project Manager,,"PMP, Agile, Project Management"," £70,000 - £100,000 ",Glasgow,Project Leaders,,Project Management,,
Data Scientist,,"R, Python, Machine Learning"," £55,000 - £85,000 ",Newcastle,Data Insights,,Data Science,,
DevOps Engineer,,"Docker, Jenkins, DevOps"," £50,000 - £75,000 ",Sheffield,DevOps Solutions,,DevOps,,
IT Support Analyst,,"Windows, Linux, Troubleshooting"," £30,000 - £45,000 ",Cardiff,IT Services,,Support,,
UX/UI Designer,,"UI/UX Design, Prototyping"," £40,000 - £70,000 ",London,Design Studios,,Design,,
Database Analyst,,"SQL, Oracle, Database Management"," £40,000 - £65,000 ",Manchester,Data Solutions,,Database,,
UI Developer,,"HTML, CSS, JavaScript"," £35,000 - £55,000 ",Birmingham,Web Creations,,Web Development,,
System Administrator,,"Windows Server, Networking"," £45,000 - £70,000 ",Edinburgh,System Services,,IT Services,,
AI/ML Engineer,,"Python, TensorFlow, AI/ML"," £55,000 - £85,000 ",Glasgow,AI Innovations,,Artificial Intelligence,,
IT Auditor,,"Audit, Risk Management"," £50,000 - £80,000 ",Leeds,Audit Experts,,Audit,,
Network Security Engineer,,"Security, Firewall"," £55,000 - £90,000 ",Bristol,SecureNet,,Security,,
Software Tester,,"Manual Testing, Bug Tracking"," £30,000 - £50,000 ",Newcastle,QA Solutions,,Quality Assurance,,
Cloud Solutions Architect,,"AWS, Azure, Cloud Architecture"," £60,000 - £90,000 ",Cardiff,Cloud Innovators,,Cloud Computing,,
IT Consultant,,"Consulting, IT Strategy"," £60,000 - £90,000 ",Birmingham,IT Consultants,,Consulting,,
Front-end Developer,,"JavaScript, React"," £40,000 - £75,000 ",Edinburgh,Web Studios,,Web Development,,
Business Analyst,,"Business Analysis, Requirements"," £45,000 - £80,000 ",Glasgow,Biz Analysts,,Business Analysis,,
IT Helpdesk Support,,"Troubleshooting, Customer Service"," £25,000 - £40,000 ",Leeds,IT Helpdesk,,Support,,
DevSecOps Engineer,,"DevSecOps, CI/CD"," £60,000 - £95,000 ",Bristol,Secure DevOps,,DevOps,,
Data Engineer,,"ETL, Big Data, SQL"," £50,000 - £85,000 ",Cardiff,Data Engineers,,Data Engineering,,
IT Trainer,,"Training, IT Education"," £35,000 - £60,000 ",Manchester,IT Training,,Education,,
Cloud Security Engineer,,"Cloud Security, Encryption"," £65,000 - £100,000 ",Birmingham,SecureCloud,,Security,,
IT Procurement Specialist,,"Procurement, Vendor Management"," £50,000 - £80,000 ",Edinburgh,ProcureIT,,Procurement,,
UX Researcher,,"User Research, UX Design"," £45,000 - £75,000 ",Glasgow,UX Labs,,Design,,
Blockchain Developer,,"Blockchain, Solidity"," £55,000 - £90,000 ",Leeds,Blockchain Tech,,Blockchain,,
IT Risk Analyst,,"Risk Assessment, Compliance"," £50,000 - £80,000 ",Cardiff,Risk Analysts,,Risk Management,,
Cloud Support Engineer,,"AWS, Azure, Cloud Services"," £40,000 - £70,000 ",London,Cloud Support,,Support,,
IT Sales Manager,,"Sales, IT Sales"," £70,000 - £110,000 ",Manchester,Sales Leaders,,Sales,,
Data Privacy Officer,,"GDPR, Data Protection"," £55,000 - £85,000 ",Birmingham,Data Privacy,,Data Privacy,,
Software Architect,,"Architecture, Design Patterns"," £75,000 - £120,000 ",Edinburgh,Software Architects,,Software Design,,
IT Quality Analyst,,"QA, Testing"," £45,000 - £75,000 ",Glasgow,QA Analysts,,Quality Assurance,,
Mobile App Developer,,"iOS, Android, Mobile Development"," £50,000 - £90,000 ",Leeds,Mobile Devs,,Mobile Development,,
IT Procurement Manager,,"Procurement, Supply Chain"," £70,000 - £110,000 ",Cardiff,Procurement Mgmt,,Procurement,,
IT Compliance Officer,,"Compliance, Regulations"," £60,000 - £95,000 ",London,Compliance Experts,,Compliance,,
Full-stack Developer,,"JavaScript, Node.js"," £55,000 - £90,000 ",Manchester,Full-stack Devs,,Web Development,,
IT Business Analyst,,"Business Analysis, IT Strategy"," £50,000 - £85,000 ",Birmingham,IT Analysts,,Business Analysis,,
IT Trainer Assistant,,"Training, IT Education"," £30,000 - £50,000 ",Edinburgh,IT Training Assist,,Education,,
AI Ethics Consultant,,"Ethics, AI Governance"," £60,000 - £100,000 ",Glasgow,AI Ethics,,Ethics,,
IT Support Specialist,,"Windows, Troubleshooting"," £35,000 - £55,000 ",Leeds,IT Support Specialists,,Support,,
Data Analytics Manager,,"Data Analytics, Team Management"," £70,000 - £110,000 ",Cardiff,Data Managers,,Analytics,,
IT Project Coordinator,,Project Coordination," £40,000 - £70,000 ",London,Project Coordinators,,Project Management,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £45,000 - £75,000 ",Manchester,Cloud Analysts,,Cloud Computing,,
IT Governance Manager,,"IT Governance, Compliance"," £65,000 - £100,000 ",Birmingham,IT Governance Mgmt,,Governance,,
Cybersecurity Engineer,,"Cybersecurity, Penetration Testing"," £55,000 - £90,000 ",Edinburgh,Cybersecurity Engineers,,Security,,
IT Procurement Analyst,,Procurement Analysis," £50,000 - £85,000 ",Glasgow,Procurement Analysts,,Procurement,,
UX Designer,,"UX Design, Prototyping"," £45,000 - £75,000 ",Leeds,UX Designers,,Design,,
Software Engineer,,"Java, Python, Software Development"," £50,000 - £80,000 ",London,Tech Solutions,,Software Development,,
Data Analyst,,"SQL, Data Visualization"," £40,000 - £65,000 ",Manchester,Data Insights,,Data Analysis,,
Network Engineer,,"Cisco, Network Troubleshooting"," £45,000 - £75,000 ",Birmingham,Network Experts,,Networking,,
Cloud Architect,,"AWS, Azure, Cloud Architecture"," £60,000 - £90,000 ",Edinburgh,Cloud Innovators,,Cloud Computing,,
Cybersecurity Analyst,,"Cybersecurity, Threat Analysis"," £50,000 - £80,000 ",Glasgow,SecureGuard,,Security,,
IT Project Manager,,"PMP, Agile, Project Management"," £70,000 - £100,000 ",Leeds,Project Leaders,,Project Management,,
Data Scientist,,"R, Python, Machine Learning"," £55,000 - £85,000 ",Sheffield,Data Insights,,Data Science,,
DevOps Engineer,,"Docker, Jenkins, DevOps"," £50,000 - £75,000 ",Cardiff,DevOps Solutions,,DevOps,,
IT Support Analyst,,"Windows, Linux, Troubleshooting"," £30,000 - £45,000 ",London,IT Services,,Support,,
UX/UI Designer,,"UI/UX Design, Prototyping"," £40,000 - £70,000 ",Manchester,Design Studios,,Design,,
Database Analyst,,"SQL, Oracle, Database Management"," £40,000 - £65,000 ",Birmingham,Data Solutions,,Database,,
UI Developer,,"HTML, CSS, JavaScript"," £35,000 - £55,000 ",Edinburgh,Web Creations,,Web Development,,
System Administrator,,"Windows Server, Networking"," £45,000 - £70,000 ",Glasgow,System Services,,IT Services,,
AI/ML Engineer,,"Python, TensorFlow, AI/ML"," £55,000 - £85,000 ",Leeds,AI Innovations,,Artificial Intelligence,,
IT Auditor,,"Audit, Risk Management"," £50,000 - £80,000 ",Bristol,Audit Experts,,Audit,,
Network Security Engineer,,"Security, Firewall"," £55,000 - £90,000 ",Newcastle,SecureNet,,Security,,
Software Tester,,"Manual Testing, Bug Tracking"," £30,000 - £50,000 ",Cardiff,QA Solutions,,Quality Assurance,,
Cloud Solutions Architect,,"AWS, Azure, Cloud Architecture"," £60,000 - £90,000 ",London,Cloud Architects,,Cloud Computing,,
IT Consultant,,"Consulting, IT Strategy"," £60,000 - £90,000 ",Manchester,IT Consultants,,Consulting,,
Front-end Developer,,"JavaScript, React"," £40,000 - £75,000 ",Birmingham,Web Studios,,Web Development,,
Business Analyst,,"Business Analysis, Requirements"," £45,000 - £80,000 ",Edinburgh,Biz Analysts,,Business Analysis,,
IT Helpdesk Support,,"Troubleshooting, Customer Service"," £25,000 - £40,000 ",Glasgow,IT Helpdesk,,Support,,
DevSecOps Engineer,,"DevSecOps, CI/CD"," £60,000 - £95,000 ",Leeds,Secure DevOps,,DevOps,,
Data Engineer,,"ETL, Big Data, SQL"," £50,000 - £85,000 ",Bristol,Data Engineers,,Data Engineering,,
IT Trainer,,"Training, IT Education"," £35,000 - £60,000 ",Newcastle,IT Training,,Education,,
Cloud Security Engineer,,"Cloud Security, Encryption"," £65,000 - £100,000 ",Cardiff,SecureCloud,,Security,,
IT Procurement Specialist,,"Procurement, Vendor Management"," £50,000 - £80,000 ",Edinburgh,ProcureIT,,Procurement,,
UX Researcher,,"User Research, UX Design"," £45,000 - £75,000 ",Glasgow,UX Labs,,Design,,
Blockchain Developer,,"Blockchain, Solidity"," £55,000 - £90,000 ",Leeds,Blockchain Tech,,Blockchain,,
IT Risk Analyst,,"Risk Assessment, Compliance"," £50,000 - £80,000 ",Cardiff,Risk Analysts,,Risk Management,,
Cloud Support Engineer,,"AWS, Azure, Cloud Services"," £40,000 - £70,000 ",London,Cloud Support,,Support,,
IT Sales Manager,,"Sales, IT Sales"," £70,000 - £110,000 ",Manchester,Sales Leaders,,Sales,,
Data Privacy Officer,,"GDPR, Data Protection"," £55,000 - £85,000 ",Birmingham,Data Privacy,,Data Privacy,,
Software Architect,,"Architecture, Design Patterns"," £75,000 - £120,000 ",Edinburgh,Software Architects,,Software Design,,
IT Quality Analyst,,"QA, Testing"," £45,000 - £75,000 ",Glasgow,QA Analysts,,Quality Assurance,,
Mobile App Developer,,"iOS, Android, Mobile Development"," £50,000 - £90,000 ",Leeds,Mobile Devs,,Mobile Development,,
IT Procurement Manager,,"Procurement, Supply Chain"," £70,000 - £110,000 ",Cardiff,Procurement Mgmt,,Procurement,,
IT Compliance Officer,,"Compliance, Regulations"," £60,000 - £95,000 ",London,Compliance Experts,,Compliance,,
Full-stack Developer,,"JavaScript, Node.js"," £55,000 - £90,000 ",Manchester,Full-stack Devs,,Web Development,,
IT Business Analyst,,"Business Analysis, IT Strategy"," £50,000 - £85,000 ",Birmingham,IT Analysts,,Business Analysis,,
IT Trainer Assistant,,"Training, IT Education"," £30,000 - £50,000 ",Edinburgh,IT Training Assist,,Education,,
AI Ethics Consultant,,"Ethics, AI Governance"," £60,000 - £100,000 ",Glasgow,AI Ethics,,Ethics,,
IT Support Specialist,,"Windows, Troubleshooting"," £35,000 - £55,000 ",Leeds,IT Support Specialists,,Support,,
Data Analytics Manager,,"Data Analytics, Team Management"," £70,000 - £110,000 ",Cardiff,Data Managers,,Analytics,,
IT Project Coordinator,,Project Coordination," £40,000 - £70,000 ",London,Project Coordinators,,Project Management,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £45,000 - £75,000 ",Manchester,Cloud Analysts,,Cloud Computing,,
IT Governance Manager,,"IT Governance, Compliance"," £65,000 - £100,000 ",Birmingham,IT Governance Mgmt,,Governance,,
Cybersecurity Engineer,,"Cybersecurity, Penetration Testing"," £55,000 - £90,000 ",Edinburgh,Cybersecurity Engineers,,Security,,
IT Procurement Analyst,,Procurement Analysis," £50,000 - £85,000 ",Glasgow,Procurement Analysts,,Procurement,,
UX Designer,,"UX Design, Prototyping"," £45,000 - £75,000 ",Leeds,UX Designers,,Design,,
Software Developer,,"Java, JavaScript, HTML/CSS"," £45,000 - £75,000 ",London,Tech Innovations,,Software Development,,
Data Analyst,,"SQL, Excel, Data Analysis"," £40,000 - £70,000 ",Manchester,Data Insights,,Data Analysis,,
Network Engineer,,"Cisco, Networking"," £50,000 - £80,000 ",Birmingham,Network Experts,,Networking,,
Cloud Architect,,"AWS, Azure, Cloud Design"," £60,000 - £95,000 ",Edinburgh,Cloud Innovators,,Cloud Computing,,
Cybersecurity Analyst,,"Cybersecurity, Threat Detection"," £55,000 - £90,000 ",Glasgow,SecureGuard,,Security,,
IT Project Manager,,"Project Management, Agile"," £70,000 - £110,000 ",Leeds,Project Leaders,,Project Management,,
Data Scientist,,"Python, Machine Learning"," £65,000 - £100,000 ",Sheffield,Data Insights,,Data Science,,
IT Support Specialist,,"Windows, Troubleshooting"," £40,000 - £70,000 ",Cardiff,IT Support Experts,,Support,,
Full-stack Developer,,"JavaScript, Node.js, HTML/CSS"," £50,000 - £85,000 ",London,Web Creations,,Web Development,,
Data Analyst,,"SQL, Excel, Data Analysis"," £45,000 - £75,000 ",Manchester,Data Insights,,Data Analysis,,
Network Engineer,,"Cisco, Networking"," £55,000 - £90,000 ",Birmingham,Network Experts,,Networking,,
Cloud Architect,,"AWS, Azure, Cloud Design"," £70,000 - £110,000 ",Edinburgh,Cloud Innovations,,Cloud Computing,,
