Job Title,,Required Skills, Salary Range ,Location,Company,,Industry,,
Cybersecurity Analyst,,"Cybersecurity, Threat Detection"," £60,000 - £95,000 ",Glasgow,SecureGuard,,Security,,
IT Project Manager,,"Project Management, Agile"," £75,000 - £120,000 ",Leeds,Project Leaders,,Project Management,,
Data Scientist,,"Python, Machine Learning"," £65,000 - £100,000 ",Sheffield,Data Insights,,Data Science,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £55,000 - £90,000 ",Manchester,Cloud Analysts,,Cloud Computing,,
IT Governance Manager,,"IT Governance, Compliance"," £80,000 - £130,000 ",Birmingham,IT Governance Mgmt,,Governance,,
Software Developer,,"Java, Python, Software Development"," £50,000 - £85,000 ",Bristol,Tech Solutions,,Software Development,,
IT Support Specialist,,"Windows, Troubleshooting"," £40,000 - £70,000 ",Cardiff,IT Support Experts,,Support,,
Full-stack Developer,,"JavaScript, Node.js, HTML/CSS"," £50,000 - £85,000 ",London,Web Creations,,Web Development,,
Data Analyst,,"SQL, Excel, Data Analysis"," £45,000 - £75,000 ",Manchester,Data Insights,,Data Analysis,,
Network Engineer,,"Cisco, Networking"," £55,000 - £90,000 ",Birmingham,Network Experts,,Networking,,
Cloud Architect,,"AWS, Azure, Cloud Design"," £70,000 - £110,000 ",Edinburgh,Cloud Innovations,,Cloud Computing,,
Cybersecurity Analyst,,"Cybersecurity, Threat Detection"," £60,000 - £95,000 ",Glasgow,SecureGuard,,Security,,
IT Project Manager,,"Project Management, Agile"," £75,000 - £120,000 ",Leeds,Project Leaders,,Project Management,,
Data Scientist,,"Python, Machine Learning"," £65,000 - £100,000 ",Sheffield,Data Insights,,Data Science,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £55,000 - £90,000 ",Manchester,Cloud Analysts,,Cloud Computing,,
IT Governance Manager,,"IT Governance, Compliance"," £80,000 - £130,000 ",Birmingham,IT Governance Mgmt,,Governance,,
Software Developer,,"Java, Python, Software Development"," £50,000 - £85,000 ",Bristol,Tech Solutions,,Software Development,,
IT Support Specialist,,"Windows, Troubleshooting"," £42,000 - £72,000 ",Glasgow,IT Solutions,,Support,,
DevOps Engineer,,"Docker, Jenkins, DevOps"," £55,000 - £90,000 ",London,DevOps Solutions,,DevOps,,
Database Administrator,,"SQL, Database Management"," £50,000 - £85,000 ",Manchester,Data Management,,Database,,
UX Designer,,"UX Design, Prototyping"," £45,000 - £75,000 ",Birmingham,UX Innovations,,Design,,
IT Consultant,,"Consulting, IT Strategy"," £75,000 - £120,000 ",Edinburgh,IT Consultancy,,Consulting,,
Software Tester,,"Manual Testing, Bug Tracking"," £40,000 - £70,000 ",Glasgow,QA Solutions,,Quality Assurance,,
IT Security Analyst,,"Security, Threat Analysis"," £50,000 - £85,000 ",Leeds,SecureIT,,Security,,
Data Engineer,,"ETL, Big Data, SQL"," £60,000 - £95,000 ",Bristol,Data Engineers,,Data Engineering,,
Front-end Developer,,"HTML, CSS, JavaScript"," £45,000 - £75,000 ",Sheffield,Web Studios,,Web Development,,
AI/ML Engineer,,"Python, TensorFlow, AI/ML"," £70,000 - £110,000 ",Newcastle,AI Innovations,,Artificial Intelligence,,
IT Auditor,,"Audit, Risk Management"," £55,000 - £90,000 ",Cardiff,Audit Experts,,Audit,,
IT Trainer,,"Training, IT Education"," £35,000 - £60,000 ",Liverpool,IT Training,,Education,,
Cloud Security Engineer,,"Cloud Security, Encryption"," £70,000 - £110,000 ",Nottingham,SecureCloud,,Security,,
IT Procurement Specialist,,"Procurement, Vendor Management"," £55,000 - £90,000 ",Sheffield,ProcureIT,,Procurement,,
UX Researcher,,"User Research, UX Design"," £48,000 - £80,000 ",Bristol,UX Labs,,Design,,
Blockchain Developer,,"Blockchain, Solidity"," £65,000 - £100,000 ",Liverpool,Blockchain Tech,,Blockchain,,
IT Risk Analyst,,"Risk Assessment, Compliance"," £50,000 - £85,000 ",Nottingham,Risk Analysts,,Risk Management,,
Cloud Support Engineer,,"AWS, Azure, Cloud Services"," £45,000 - £75,000 ",Sheffield,Cloud Support,,Support,,
IT Sales Manager,,"Sales, IT Sales"," £80,000 - £130,000 ",Manchester,Sales Leaders,,Sales,,
Data Privacy Officer,,"GDPR, Data Protection"," £60,000 - £95,000 ",Birmingham,Data Privacy,,Data Privacy,,
Software Architect,,"Architecture, Design Patterns"," £90,000 - £140,000 ",Nottingham,Software Architects,,Software Design,,
IT Quality Analyst,,"QA, Testing"," £55,000 - £90,000 ",Sheffield,QA Analysts,,Quality Assurance,,
Mobile App Developer,,"iOS, Android, Mobile Development"," £70,000 - £110,000 ",Liverpool,Mobile Devs,,Mobile Development,,
IT Procurement Manager,,"Procurement, Supply Chain"," £75,000 - £120,000 ",Nottingham,Procurement Mgmt,,Procurement,,
IT Compliance Officer,,"Compliance, Regulations"," £65,000 - £100,000 ",Manchester,Compliance Experts,,Compliance,,
Full-stack Developer,,"JavaScript, Node.js, HTML/CSS"," £55,000 - £90,000 ",Birmingham,Web Creations,,Web Development,,
IT Business Analyst,,"Business Analysis, IT Strategy"," £60,000 - £95,000 ",Edinburgh,IT Analysts,,Business Analysis,,
IT Trainer,,"Training, IT Education"," £40,000 - £70,000 ",Glasgow,IT Training,,Education,,
AI Ethics Consultant,,"Ethics, AI Governance"," £75,000 - £120,000 ",Leeds,AI Ethics,,Ethics,,
IT Support Specialist,,"Windows, Troubleshooting"," £45,000 - £75,000 ",Sheffield,IT Support Specialists,,Support,,
Data Analytics Manager,,"Data Analytics, Team Management"," £80,000 - £130,000 ",Nottingham,Data Managers,,Analytics,,
IT Project Coordinator,,Project Coordination," £50,000 - £85,000 ",Liverpool,Project Coordinators,,Project Management,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £70,000 - £110,000 ",Birmingham,Cloud Analysts,,Cloud Computing,,
IT Support Specialist,,"Windows, Troubleshooting"," £40,000 - £70,000 ",Cardiff,IT Support Experts,,Support,,
Full-stack Developer,,"JavaScript, Node.js, HTML/CSS"," £50,000 - £85,000 ",London,Web Creations,,Web Development,,
Data Analyst,,"SQL, Excel, Data Analysis"," £45,000 - £75,000 ",Manchester,Data Insights,,Data Analysis,,
Network Engineer,,"Cisco, Networking"," £55,000 - £90,000 ",Birmingham,Network Experts,,Networking,,
Cloud Architect,,"AWS, Azure, Cloud Design"," £70,000 - £110,000 ",Edinburgh,Cloud Innovations,,Cloud Computing,,
Cybersecurity Analyst,,"Cybersecurity, Threat Detection"," £60,000 - £95,000 ",Glasgow,SecureGuard,,Security,,
IT Project Manager,,"Project Management, Agile"," £75,000 - £120,000 ",Leeds,Project Leaders,,Project Management,,
Data Scientist,,"Python, Machine Learning"," £65,000 - £100,000 ",Sheffield,Data Insights,,Data Science,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £55,000 - £90,000 ",Manchester,Cloud Analysts,,Cloud Computing,,
IT Governance Manager,,"IT Governance, Compliance"," £80,000 - £130,000 ",Birmingham,IT Governance Mgmt,,Governance,,
Software Developer,,"Java, Python, Software Development"," £50,000 - £85,000 ",Bristol,Tech Solutions,,Software Development,,
IT Support Specialist,,"Windows, Troubleshooting"," £42,000 - £72,000 ",Glasgow,IT Solutions,,Support,,
DevOps Engineer,,"Docker, Jenkins, DevOps"," £55,000 - £90,000 ",London,DevOps Solutions,,DevOps,,
Database Administrator,,"SQL, Database Management"," £50,000 - £85,000 ",Manchester,Data Management,,Database,,
UX Designer,,"UX Design, Prototyping"," £45,000 - £75,000 ",Birmingham,UX Innovations,,Design,,
IT Consultant,,"Consulting, IT Strategy"," £75,000 - £120,000 ",Edinburgh,IT Consultancy,,Consulting,,
Software Tester,,"Manual Testing, Bug Tracking"," £40,000 - £70,000 ",Glasgow,QA Solutions,,Quality Assurance,,
IT Security Analyst,,"Security, Threat Analysis"," £50,000 - £85,000 ",Leeds,SecureIT,,Security,,
Data Engineer,,"ETL, Big Data, SQL"," £60,000 - £95,000 ",Bristol,Data Engineers,,Data Engineering,,
Front-end Developer,,"HTML, CSS, JavaScript"," £45,000 - £75,000 ",Sheffield,Web Studios,,Web Development,,
AI/ML Engineer,,"Python, TensorFlow, AI/ML"," £70,000 - £110,000 ",Newcastle,AI Innovations,,Artificial Intelligence,,
IT Auditor,,"Audit, Risk Management"," £55,000 - £90,000 ",Cardiff,Audit Experts,,Audit,,
IT Trainer,,"Training, IT Education"," £35,000 - £60,000 ",Liverpool,IT Training,,Education,,
Cloud Security Engineer,,"Cloud Security, Encryption"," £70,000 - £110,000 ",Nottingham,SecureCloud,,Security,,
IT Procurement Specialist,,"Procurement, Vendor Management"," £55,000 - £90,000 ",Sheffield,ProcureIT,,Procurement,,
UX Researcher,,"User Research, UX Design"," £48,000 - £80,000 ",Bristol,UX Labs,,Design,,
Blockchain Developer,,"Blockchain, Solidity"," £65,000 - £100,000 ",Liverpool,Blockchain Tech,,Blockchain,,
IT Risk Analyst,,"Risk Assessment, Compliance"," £50,000 - £85,000 ",Nottingham,Risk Analysts,,Risk Management,,
Cloud Support Engineer,,"AWS, Azure, Cloud Services"," £45,000 - £75,000 ",Sheffield,Cloud Support,,Support,,
IT Sales Manager,,"Sales, IT Sales"," £80,000 - £130,000 ",Manchester,Sales Leaders,,Sales,,
Data Privacy Officer,,"GDPR, Data Protection"," £60,000 - £95,000 ",Birmingham,Data Privacy,,Data Privacy,,
Software Architect,,"Architecture, Design Patterns"," £90,000 - £140,000 ",Nottingham,Software Architects,,Software Design,,
IT Quality Analyst,,"QA, Testing"," £55,000 - £90,000 ",Sheffield,QA Analysts,,Quality Assurance,,
Mobile App Developer,,"iOS, Android, Mobile Development"," £70,000 - £110,000 ",Liverpool,Mobile Devs,,Mobile Development,,
IT Procurement Manager,,"Procurement, Supply Chain"," £75,000 - £120,000 ",Nottingham,Procurement Mgmt,,Procurement,,
IT Compliance Officer,,"Compliance, Regulations"," £65,000 - £100,000 ",Manchester,Compliance Experts,,Compliance,,
Full-stack Developer,,"JavaScript, Node.js, HTML/CSS"," £55,000 - £90,000 ",Birmingham,Web Creations,,Web Development,,
IT Business Analyst,,"Business Analysis, IT Strategy"," £60,000 - £95,000 ",Edinburgh,IT Analysts,,Business Analysis,,
IT Trainer,,"Training, IT Education"," £40,000 - £70,000 ",Glasgow,IT Training,,Education,,
AI Ethics Consultant,,"Ethics, AI Governance"," £75,000 - £120,000 ",Leeds,AI Ethics,,Ethics,,
IT Support Specialist,,"Windows, Troubleshooting"," £45,000 - £75,000 ",Sheffield,IT Support Specialists,,Support,,
Data Analytics Manager,,"Data Analytics, Team Management"," £80,000 - £130,000 ",Nottingham,Data Managers,,Analytics,,
IT Project Coordinator,,Project Coordination," £50,000 - £85,000 ",Liverpool,Project Coordinators,,Project Management,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £70,000 - £110,000 ",Birmingham,Cloud Analysts,,Cloud Computing,,
IT Support Specialist,,"Windows, Troubleshooting"," £40,000 - £70,000 ",Cardiff,IT Support Experts,,Support,,
Full-stack Developer,,"JavaScript, Node.js, HTML/CSS"," £50,000 - £85,000 ",London,Web Creations,,Web Development,,
Data Analyst,,"SQL, Excel, Data Analysis"," £45,000 - £75,000 ",Manchester,Data Insights,,Data Analysis,,
Network Engineer,,"Cisco, Networking"," £55,000 - £90,000 ",Birmingham,Network Experts,,Networking,,
Cloud Architect,,"AWS, Azure, Cloud Design"," £70,000 - £110,000 ",Edinburgh,Cloud Innovations,,Cloud Computing,,
Cybersecurity Analyst,,"Cybersecurity, Threat Detection"," £60,000 - £95,000 ",Glasgow,SecureGuard,,Security,,
IT Project Manager,,"Project Management, Agile"," £75,000 - £120,000 ",Leeds,Project Leaders,,Project Management,,
Data Scientist,,"Python, Machine Learning"," £65,000 - £100,000 ",Sheffield,Data Insights,,Data Science,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £55,000 - £90,000 ",Manchester,Cloud Analysts,,Cloud Computing,,
IT Governance Manager,,"IT Governance, Compliance"," £80,000 - £130,000 ",Birmingham,IT Governance Mgmt,,Governance,,
Software Developer,,"Java, Python, Software Development"," £50,000 - £85,000 ",Bristol,Tech Solutions,,Software Development,,
IT Support Specialist,,"Windows, Troubleshooting"," £42,000 - £72,000 ",Glasgow,IT Solutions,,Support,,
DevOps Engineer,,"Docker, Jenkins, DevOps"," £55,000 - £90,000 ",London,DevOps Solutions,,DevOps,,
Database Administrator,,"SQL, Database Management"," £50,000 - £85,000 ",Manchester,Data Management,,Database,,
UX Designer,,"UX Design, Prototyping"," £45,000 - £75,000 ",Birmingham,UX Innovations,,Design,,
IT Consultant,,"Consulting, IT Strategy"," £75,000 - £120,000 ",Edinburgh,IT Consultancy,,Consulting,,
Software Tester,,"Manual Testing, Bug Tracking"," £40,000 - £70,000 ",Glasgow,QA Solutions,,Quality Assurance,,
IT Security Analyst,,"Security, Threat Analysis"," £50,000 - £85,000 ",Leeds,SecureIT,,Security,,
Data Engineer,,"ETL, Big Data, SQL"," £60,000 - £95,000 ",Bristol,Data Engineers,,Data Engineering,,
Front-end Developer,,"HTML, CSS, JavaScript"," £45,000 - £75,000 ",Sheffield,Web Studios,,Web Development,,
AI/ML Engineer,,"Python, TensorFlow, AI/ML"," £70,000 - £110,000 ",Newcastle,AI Innovations,,Artificial Intelligence,,
IT Auditor,,"Audit, Risk Management"," £55,000 - £90,000 ",Cardiff,Audit Experts,,Audit,,
IT Trainer,,"Training, IT Education"," £35,000 - £60,000 ",Liverpool,IT Training,,Education,,
Cloud Security Engineer,,"Cloud Security, Encryption"," £70,000 - £110,000 ",Nottingham,SecureCloud,,Security,,
IT Procurement Specialist,,"Procurement, Vendor Management"," £55,000 - £90,000 ",Sheffield,ProcureIT,,Procurement,,
UX Researcher,,"User Research, UX Design"," £48,000 - £80,000 ",Bristol,UX Labs,,Design,,
Blockchain Developer,,"Blockchain, Solidity"," £65,000 - £100,000 ",Liverpool,Blockchain Tech,,Blockchain,,
IT Risk Analyst,,"Risk Assessment, Compliance"," £50,000 - £85,000 ",Nottingham,Risk Analysts,,Risk Management,,
Cloud Support Engineer,,"AWS, Azure, Cloud Services"," £45,000 - £75,000 ",Sheffield,Cloud Support,,Support,,
IT Sales Manager,,"Sales, IT Sales"," £80,000 - £130,000 ",Manchester,Sales Leaders,,Sales,,
Data Privacy Officer,,"GDPR, Data Protection"," £60,000 - £95,000 ",Birmingham,Data Privacy,,Data Privacy,,
Software Architect,,"Architecture, Design Patterns"," £90,000 - £140,000 ",Nottingham,Software Architects,,Software Design,,
IT Quality Analyst,,"QA, Testing"," £55,000 - £90,000 ",Sheffield,QA Analysts,,Quality Assurance,,
Mobile App Developer,,"iOS, Android, Mobile Development"," £70,000 - £110,000 ",Liverpool,Mobile Devs,,Mobile Development,,
IT Procurement Manager,,"Procurement, Supply Chain"," £75,000 - £120,000 ",Nottingham,Procurement Mgmt,,Procurement,,
IT Compliance Officer,,"Compliance, Regulations"," £65,000 - £100,000 ",Manchester,Compliance Experts,,Compliance,,
Full-stack Developer,,"JavaScript, Node.js, HTML/CSS"," £55,000 - £90,000 ",Birmingham,Web Creations,,Web Development,,
IT Business Analyst,,"Business Analysis, IT Strategy"," £60,000 - £95,000 ",Edinburgh,IT Analysts,,Business Analysis,,
IT Trainer,,"Training, IT Education"," £40,000 - £70,000 ",Glasgow,IT Training,,Education,,
AI Ethics Consultant,,"Ethics, AI Governance"," £75,000 - £120,000 ",Leeds,AI Ethics,,Ethics,,
IT Support Specialist,,"Windows, Troubleshooting"," £45,000 - £75,000 ",Sheffield,IT Support Specialists,,Support,,
Data Analytics Manager,,"Data Analytics, Team Management"," £80,000 - £130,000 ",Nottingham,Data Managers,,Analytics,,
IT Project Coordinator,,Project Coordination," £50,000 - £85,000 ",Liverpool,Project Coordinators,,Project Management,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £70,000 - £110,000 ",Birmingham,Cloud Analysts,,Cloud Computing,,
IT Support Specialist,,"Windows, Troubleshooting"," £40,000 - £70,000 ",Cardiff,IT Support Experts,,Support,,
Full-stack Developer,,"JavaScript, Node.js, HTML/CSS"," £50,000 - £85,000 ",London,Web Creations,,Web Development,,
Data Analyst,,"SQL, Excel, Data Analysis"," £45,000 - £75,000 ",Manchester,Data Insights,,Data Analysis,,
Network Engineer,,"Cisco, Networking"," £55,000 - £90,000 ",Birmingham,Network Experts,,Networking,,
Cloud Architect,,"AWS, Azure, Cloud Design"," £70,000 - £110,000 ",Edinburgh,Cloud Innovations,,Cloud Computing,,
Cybersecurity Analyst,,"Cybersecurity, Threat Detection"," £60,000 - £95,000 ",Glasgow,SecureGuard,,Security,,
IT Project Manager,,"Project Management, Agile"," £75,000 - £120,000 ",Leeds,Project Leaders,,Project Management,,
Data Scientist,,"Python, Machine Learning"," £65,000 - £100,000 ",Sheffield,Data Insights,,Data Science,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £55,000 - £90,000 ",Manchester,Cloud Analysts,,Cloud Computing,,
IT Governance Manager,,"IT Governance, Compliance"," £80,000 - £130,000 ",Birmingham,IT Governance Mgmt,,Governance,,
Software Developer,,"Java, Python, Software Development"," £50,000 - £85,000 ",Bristol,Tech Solutions,,Software Development,,
IT Support Specialist,,"Windows, Troubleshooting"," £42,000 - £72,000 ",Glasgow,IT Solutions,,Support,,
DevOps Engineer,,"Docker, Jenkins, DevOps"," £55,000 - £90,000 ",London,DevOps Solutions,,DevOps,,
Database Administrator,,"SQL, Database Management"," £50,000 - £85,000 ",Manchester,Data Management,,Database,,
UX Designer,,"UX Design, Prototyping"," £45,000 - £75,000 ",Birmingham,UX Innovations,,Design,,
IT Consultant,,"Consulting, IT Strategy"," £75,000 - £120,000 ",Edinburgh,IT Consultancy,,Consulting,,
Software Tester,,"Manual Testing, Bug Tracking"," £40,000 - £70,000 ",Glasgow,QA Solutions,,Quality Assurance,,
IT Security Analyst,,"Security, Threat Analysis"," £50,000 - £85,000 ",Leeds,SecureIT,,Security,,
Data Engineer,,"ETL, Big Data, SQL"," £60,000 - £95,000 ",Bristol,Data Engineers,,Data Engineering,,
Front-end Developer,,"HTML, CSS, JavaScript"," £45,000 - £75,000 ",Sheffield,Web Studios,,Web Development,,
AI/ML Engineer,,"Python, TensorFlow, AI/ML"," £70,000 - £110,000 ",Newcastle,AI Innovations,,Artificial Intelligence,,
IT Auditor,,"Audit, Risk Management"," £55,000 - £90,000 ",Cardiff,Audit Experts,,Audit,,
IT Trainer,,"Training, IT Education"," £35,000 - £60,000 ",Liverpool,IT Training,,Education,,
Cloud Security Engineer,,"Cloud Security, Encryption"," £70,000 - £110,000 ",Nottingham,SecureCloud,,Security,,
IT Procurement Specialist,,"Procurement, Vendor Management"," £55,000 - £90,000 ",Sheffield,ProcureIT,,Procurement,,
UX Researcher,,"User Research, UX Design"," £48,000 - £80,000 ",Bristol,UX Labs,,Design,,
Blockchain Developer,,"Blockchain, Solidity"," £65,000 - £100,000 ",Liverpool,Blockchain Tech,,Blockchain,,
IT Risk Analyst,,"Risk Assessment, Compliance"," £50,000 - £85,000 ",Nottingham,Risk Analysts,,Risk Management,,
Cloud Support Engineer,,"AWS, Azure, Cloud Services"," £45,000 - £75,000 ",Sheffield,Cloud Support,,Support,,
IT Sales Manager,,"Sales, IT Sales"," £80,000 - £130,000 ",Manchester,Sales Leaders,,Sales,,
Data Privacy Officer,,"GDPR, Data Protection"," £60,000 - £95,000 ",Birmingham,Data Privacy,,Data Privacy,,
Software Architect,,"Architecture, Design Patterns"," £90,000 - £140,000 ",Nottingham,Software Architects,,Software Design,,
IT Quality Analyst,,"QA, Testing"," £55,000 - £90,000 ",Sheffield,QA Analysts,,Quality Assurance,,
Mobile App Developer,,"iOS, Android, Mobile Development"," £70,000 - £110,000 ",Liverpool,Mobile Devs,,Mobile Development,,
IT Procurement Manager,,"Procurement, Supply Chain"," £75,000 - £120,000 ",Nottingham,Procurement Mgmt,,Procurement,,
IT Compliance Officer,,"Compliance, Regulations"," £65,000 - £100,000 ",Manchester,Compliance Experts,,Compliance,,
Full-stack Developer,,"JavaScript, Node.js, HTML/CSS"," £55,000 - £90,000 ",Birmingham,Web Creations,,Web Development,,
IT Business Analyst,,"Business Analysis, IT Strategy"," £60,000 - £95,000 ",Edinburgh,IT Analysts,,Business Analysis,,
IT Trainer,,"Training, IT Education"," £40,000 - £70,000 ",Glasgow,IT Training,,Education,,
AI Ethics Consultant,,"Ethics, AI Governance"," £75,000 - £120,000 ",Leeds,AI Ethics,,Ethics,,
IT Support Specialist,,"Windows, Troubleshooting"," £45,000 - £75,000 ",Sheffield,IT Support Specialists,,Support,,
Data Analytics Manager,,"Data Analytics, Team Management"," £80,000 - £130,000 ",Nottingham,Data Managers,,Analytics,,
IT Project Coordinator,,Project Coordination," £50,000 - £85,000 ",Liverpool,Project Coordinators,,Project Management,,
Cloud Solutions Analyst,,"AWS, Azure, Cloud Analysis"," £70,000 - £110,000 ",Birmingham,Cloud Analysts,,Cloud Computing,,
